Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C15","1u","C_0402_1005Metric",142.050000,-38.500000,90.000000,top
"C16","1u","C_0402_1005Metric",143.450000,-41.950000,90.000000,top
"C101","100n","C_0402_1005Metric",147.550000,-54.875000,-90.000000,top
"C102","100n","C_0402_1005Metric",144.750000,-41.595000,90.000000,top
"C103","100n","C_0402_1005Metric",146.500000,-54.275000,-90.000000,top
"C104","100n","C_0402_1005Metric",150.980000,-49.125000,90.000000,top
"C105","100n","C_0402_1005Metric",141.630000,-46.100000,90.000000,top
"C106","100n","C_0402_1005Metric",150.980000,-46.075000,90.000000,top
"C107","100n","C_0402_1005Metric",145.750000,-41.595000,90.000000,top
"C108","100n","C_0402_1005Metric",141.650000,-50.500000,90.000000,top
"C109","100n","C_0402_1005Metric",141.650000,-52.400000,-90.000000,top
"C110","1u","C_0402_1005Metric",142.300000,-54.300000,-90.000000,top
"C113","1u","C_0402_1005Metric",143.300000,-54.245000,-90.000000,top
"C117","100n","C_0402_1005Metric",152.030000,-56.175000,-90.000000,top
"C118","15p","C_0402_1005Metric",149.500000,-42.900000,180.000000,top
"C119","15p","C_0402_1005Metric",146.800000,-39.850000,90.000000,top
"J1","AudioJack4","C18185602",146.500000,-31.400000,-90.000000,top
"R1","1k","R_0402_1005Metric",151.500000,-34.100000,180.000000,top
"R2","1k","R_0402_1005Metric",144.750000,-39.000000,90.000000,top
"R3","100k","R_0402_1005Metric",151.500000,-36.400000,0.000000,top
"R4","100k","R_0402_1005Metric",151.500000,-35.250000,0.000000,top
"R103","27","R_0402_1005Metric",145.450000,-54.400000,90.000000,top
"R104","27","R_0402_1005Metric",144.400000,-54.400000,90.000000,top
"R105","10k","R_0402_1005Metric",150.980000,-51.050000,-90.000000,top
"R106","1k","R_0402_1005Metric",152.400000,-46.050000,90.000000,top
"R107","1k","R_0402_1005Metric",146.800000,-41.800000,-90.000000,top
"SW102","SW_Push","SW_SPST_B3U-1000P",152.200000,-41.900000,-90.000000,top
"U4","TLV73333PDBV","SOT-23-5",141.100000,-41.450000,90.000000,top
"U103","RP2040","RP2040-QFN-56",146.300000,-47.575000,180.000000,top
"U105","W25Q128JVS","8-USON",150.200000,-54.325000,180.000000,top
"USB2","USB_A","C98125",146.500000,-59.400000,0.000000,top
"Y101","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",148.850000,-40.650000,90.000000,top
