Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C15","1u","C_0402_1005Metric",140.100000,-45.650000,90.000000,top
"C16","1u","C_0402_1005Metric",139.600000,-51.000000,180.000000,top
"C101","100n","C_0402_1005Metric",147.550000,-54.875000,-90.000000,top
"C102","100n","C_0402_1005Metric",144.750000,-41.595000,90.000000,top
"C103","100n","C_0402_1005Metric",146.500000,-54.275000,-90.000000,top
"C104","100n","C_0402_1005Metric",152.500000,-50.750000,0.000000,top
"C105","100n","C_0402_1005Metric",141.630000,-47.070000,-90.000000,top
"C106","100n","C_0402_1005Metric",152.250000,-46.500000,0.000000,top
"C107","100n","C_0402_1005Metric",145.750000,-41.595000,90.000000,top
"C108","100n","C_0402_1005Metric",141.650000,-50.500000,90.000000,top
"C109","100n","C_0402_1005Metric",141.650000,-52.400000,-90.000000,top
"C110","1u","C_0402_1005Metric",142.300000,-54.300000,-90.000000,top
"C113","1u","C_0402_1005Metric",143.300000,-54.245000,-90.000000,top
"C117","100n","C_0402_1005Metric",152.030000,-55.750000,-90.000000,top
"C118","15p","C_0402_1005Metric",149.500000,-42.900000,180.000000,top
"C119","15p","C_0402_1005Metric",146.800000,-39.850000,90.000000,top
"J1","AudioJack3","C381131",165.000000,-59.750000,90.000000,top
"J2","AudioJack3","C381131",180.000000,-59.750000,90.000000,top
"J3","AudioJack3","C381131",195.000000,-59.750000,90.000000,top
"J4","AudioJack3","C381131",210.000000,-59.750000,90.000000,top
"J5","AudioJack3","C381131",210.000000,-33.450000,-90.000000,top
"J6","AudioJack3","C381131",195.000000,-33.450000,-90.000000,top
"J7","AudioJack3","C381131",180.000000,-33.450000,-90.000000,top
"J8","AudioJack3","C381131",165.000000,-33.450000,-90.000000,top
"R1","22","R_0402_1005Metric",144.650000,-39.450000,180.000000,top
"R2","22","R_0402_1005Metric",143.450000,-41.600000,-90.000000,top
"R3","5.1k","R_0402_1005Metric",149.250000,-57.100000,0.000000,top
"R4","5.1k","R_0402_1005Metric",144.350000,-56.600000,135.000000,top
"R103","27","R_0402_1005Metric",145.450000,-54.400000,90.000000,top
"R104","27","R_0402_1005Metric",144.400000,-54.400000,90.000000,top
"R105","10k","R_0402_1005Metric",150.980000,-51.245000,-90.000000,top
"R106","1k","R_0402_1005Metric",153.150000,-55.750000,-90.000000,top
"R107","1k","R_0402_1005Metric",146.800000,-41.800000,-90.000000,top
"SW102","SW_Push","SW_SPST_B3U-1000P",156.150000,-58.850000,90.000000,top
"U4","TLV73333PDBV","SOT-23-5",139.150000,-48.550000,90.000000,top
"U103","RP2040","RP2040-QFN-56",146.300000,-47.575000,180.000000,top
"U105","W25Q128JVS","8-USON",150.180000,-54.045000,180.000000,top
"USB1","USB_A","C42459",146.500000,-35.700000,180.000000,top
"USB2","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",146.500000,-61.356000,0.000000,top
"Y101","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",148.850000,-40.650000,90.000000,top
