Comment,Designator,Footprint,LCSC
"100n","C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C14,C17,C101,C102,C103,C104,C105,C106,C107,C108,C109,C117","Capacitor_SMD:C_0402_1005Metric","C1525"
"1u","C10,C13,C15,C16,C110,C113","Capacitor_SMD:C_0402_1005Metric","C52923"
"15p","C18,C19,C118,C119","Capacitor_SMD:C_0402_1005Metric","C1548"
"100u","C201,C202,C203,C204","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","C16133"
"10u","C205,C206,C207","Capacitor_SMD:C_0402_1005Metric","C15525"
"AudioJack4","J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14","Jack:C136687","C136687"
"470","R1,R2,R6,R8,R9,R10,R11,R12,R13,R14,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26","Resistor_SMD:R_0402_1005Metric","C25117"
"5.1k","R101,R102","Resistor_SMD:R_0402_1005Metric","C25905"
"4.7k","R15,R16","Resistor_SMD:R_0402_1005Metric","C25900"
"27","R3,R4,R103,R104","Resistor_SMD:R_0402_1005Metric","C138021"
"10k","R5,R105","Resistor_SMD:R_0402_1005Metric","C25744"
"1k","R7,R106,R107","Resistor_SMD:R_0402_1005Metric","C11702"
"SW_Push","SW102","Button_Switch_SMD:SW_SPST_B3U-1000P","C231329"
"SL2.1A","U1","SL2.1A:SOP-16_3.9x9.9mm_P1.27mm","C6798314"
"MCP4651","U2,U6,U7","TSSOP:TSSOP-14","C144237"
"RP2040","U3,U103","RP2040:RP2040-QFN-56","C2040"
"TLV73333PDBV","U4","SOT:SOT-23-5","C134139"
"W25Q16JVUXIQ","U5,U105","USON:8-USON","C2843335"
"EL3H7-G","U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27","SOP:SOP-4-1.27mm","C32565"
"USB_A","USB1,USB2,USB3,USB4","Type-A:C2689978","C2689978"
"HRO-TYPE-C-31-M-12","USB101","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"Crystal_GND24","Y1,Y101","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","C2896601"
